Dataset,Experimental time (h),Raw analysis time (h),Raw frame index,Cell occupancy (%),Cell occupancy SD (%),EPS coverage (%),EPS coverage SD (%),Cells encased by EPS (%),Cells encased SD (%),Mean EPS intensity (a.u.),Mean EPS intensity SD,Integrated EPS intensity,Integrated EPS intensity SD,EPS-positive area (pixels),EPS-positive area SD (pixels),Measurement context
24-80 h,67.9090909090909,34.5,69,62.095863655821915,8.839492036034336,92.52958135939457,7.41472665116833,93.95935641616423,5.814647490618109,13008.820147093833,4483.160495050195,49256054814.2,23187398321.272945,3667329.0,487620.96810637665,3D chamber; 2D image analysis
24-80 h,68.54545454545455,35.0,70,57.81457352311643,8.756877009594971,95.0133907472612,4.746083977996731,95.86340899660131,3.938480027352043,13201.788191492096,4567.34173029653,51614121708.2,22287613451.706455,3823038.2,342156.96728358464,3D chamber; 2D image analysis
24-80 h,69.18181818181819,35.5,71,57.2020767719545,10.859217300209833,97.1811595876463,2.8130511992437572,97.74758701903752,2.5149107942624025,13679.997761212488,4884.494257593403,55118076174.4,22299675761.472404,3978459.0,208782.5703848384,3D chamber; 2D image analysis
24-80 h,69.81818181818181,36.0,72,41.91052699975538,11.958369625623453,99.73372797867648,0.374516374322637,99.74401186719216,0.38191690867168193,14150.643021753984,4996.616378575508,58576828057.8,21491230270.80854,4124341.2,67662.13485177657,3D chamber; 2D image analysis
24-80 h,70.45454545454545,36.5,73,51.836869152091495,11.29075913760735,99.13680156747986,1.105734090642081,99.32501564558075,0.8641435273074877,13789.224319446363,4897.591205793208,56611358799.4,21489832381.536015,4078463.0,116184.25435918588,3D chamber; 2D image analysis
24-80 h,71.0909090909091,37.0,74,58.550970447040115,12.494834050914976,97.01170437384285,2.974303066324538,97.4786791943969,2.692050008863128,13301.570144780586,4602.31344016853,53243262087.8,21383793212.923557,3945709.8,235585.4859275079,3D chamber; 2D image analysis
24-80 h,71.72727272727272,37.5,75,60.92695083170254,11.501805220916303,94.43015494779007,5.518754482186274,94.51133175893136,5.415908049665283,12791.883517699924,4327.699890205249,49553833150.0,21581612571.260372,3779896.2,383675.90087364096,3D chamber; 2D image analysis
24-80 h,72.36363636363637,38.0,76,62.910662686521526,12.086917306424715,92.84927816203522,7.338835778888526,93.30640007919212,7.006367641290661,12578.96636534909,4185.284322080435,47668765183.4,21838053989.908226,3675142.4,491008.4532808982,3D chamber; 2D image analysis
24-80 h,73.0,38.5,77,64.06396675483121,12.24259701909956,92.73169255617994,7.604978703017654,93.53850424765116,6.786907543809681,12454.980829319895,4044.808873445555,47177736145.4,21242436385.660706,3677016.4,498969.16568892315,3D chamber; 2D image analysis
24-80 h,73.63636363636363,39.0,78,65.35425712451077,13.438814596731467,91.6781515261674,8.451694430499924,92.57665881542368,7.470787620146474,12339.756002360096,3979.866904918136,46009138582.2,21567276190.047096,3601136.0,556964.1979790981,3D chamber; 2D image analysis
24-80 h,74.27272727272728,39.5,79,66.63624862402153,13.62913297243569,91.14918605964715,8.933275592637134,91.30260377223802,8.640503385129943,12239.387663998394,3901.7843209344646,45533990321.2,21288159837.092556,3592666.8,564733.7032829722,3D chamber; 2D image analysis
24-80 h,74.9090909090909,40.0,80,66.86170843016144,13.582970520206757,91.108538310261,9.041961458313839,91.77101136061732,8.334327208201687,12187.688653277564,3880.0259173064874,45353798887.6,21168004480.005432,3594532.0,567850.8115345966,3D chamber; 2D image analysis
24-80 h,75.54545454545455,40.5,81,65.29386218046722,12.409625188854754,90.58868953202187,9.379758772145324,91.68402259760732,8.246706930619096,12124.211837245817,3875.711961575186,44665050224.2,21510569053.910076,3545641.0,604423.9440822973,3D chamber; 2D image analysis
24-80 h,76.18181818181819,41.0,82,64.92836312071918,12.3324582775742,90.38441493137641,9.715572571434778,91.39282758784051,8.652345024895093,12146.303157404962,3917.4801211064782,44738370392.6,21733782746.59849,3542478.6,611332.4391972015,3D chamber; 2D image analysis
24-80 h,76.81818181818181,41.5,83,66.82966437591732,13.073801073418826,90.45111959807721,9.506955771672962,91.0250140932407,8.872106998418284,12058.81919166452,3914.5392667064098,44392498421.6,21659005652.151814,3539374.6,605534.3168647009,3D chamber; 2D image analysis
24-80 h,77.45454545454545,42.0,84,65.83695323966488,11.01628954229536,90.69191330230473,9.103529773973442,91.20288605884757,8.46499150585595,12099.53306494858,4014.6314991421423,44559474373.6,22090352810.31683,3536185.0,606770.086037949,3D chamber; 2D image analysis
24-80 h,78.0909090909091,42.5,85,65.08341869496086,12.128760537572585,89.95092201291732,9.7612240671125,90.71577344020011,9.00527104509412,12066.6029806274,4024.30805580257,44090118471.6,22399691141.283394,3498531.4,638480.8366504041,3D chamber; 2D image analysis
24-80 h,78.72727272727272,43.0,86,66.57453025623778,10.814040161403602,89.6235701891964,10.18797618458537,90.29577557461987,9.517218845869518,12008.593242312649,4025.8093203816875,43836181959.8,22406129991.403706,3493522.6,643780.2202609987,3D chamber; 2D image analysis
24-80 h,79.36363636363637,43.5,87,65.1500150975416,11.634722292521978,88.77611942728682,11.035784329683061,89.4242261380941,10.41369868408815,11974.2970806602,4048.6793478446484,43289103166.6,22857814162.499096,3445830.8,687758.8836207062,3D chamber; 2D image analysis
24-80 h,80.0,44.0,88,66.70969147504893,12.078795771444478,89.01384136511402,10.675689497662683,89.81021514780107,9.847179524172923,11950.910830293511,4068.9245842726245,43298949916.2,22844979075.299408,3454364.4,677730.9170923221,3D chamber; 2D image analysis
